요양기관명,요양기관번호,회계연도,종별,설립형태,deficit,n_algorithms
가톨릭대학교 은평성모병원,11100150,2019,종합병원,학교법인,1,4
강북삼성병원,11100095,2019,상급종합병원,의료법인,0,4
강원도강릉의료원,32100159,2019,종합병원,공립,1,5
강원도속초의료원,32100141,2019,종합병원,공립,0,4
국립암센터,31100741,2019,종합병원,공립,1,3
동남권원자력의학원,21100624,2019,종합병원,공립,1,3
삼성서울병원,11100958,2019,상급종합병원,사회복지법인,1,3
연세대학교 의과대학 용인세브란스병원,31100431,2019,종합병원,학교법인,1,4
영남대학교의과대학부속영천병원,37100335,2019,종합병원,학교법인,0,4
학교법인연세대학교의과대학세브란스병원,11100206,2019,상급종합병원,학교법인,1,3
강원도강릉의료원,32100159,2020,종합병원,공립,1,5
강원도속초의료원,32100141,2020,종합병원,공립,1,5
경기도의료원 수원병원,31100988,2020,종합병원,공립,0,3
경기도의료원 안성병원,31100341,2020,종합병원,공립,0,5
경기도의료원파주병원,31100325,2020,종합병원,공립,0,4
경기도의료원포천병원,31100317,2020,종합병원,공립,0,5
경찰병원,11100176,2020,종합병원,국립,0,3
국립중앙의료원,11101318,2020,종합병원,공립,1,5
대구의료원,37100181,2020,종합병원,공립,0,3
서울특별시 동부병원,11100133,2020,종합병원,공립,1,5
서울특별시서울의료원,11101326,2020,종합병원,공립,0,4
연세대학교 의과대학 용인세브란스병원,31100431,2020,종합병원,학교법인,1,5
강원도강릉의료원,32100159,2021,종합병원,공립,0,3
강원도속초의료원,32100141,2021,종합병원,공립,0,3
계명대학교동산병원,37100025,2021,상급종합병원,학교법인,0,5
고려대학교의과대학부속구로병원,11100494,2021,상급종합병원,학교법인,0,5
국립중앙의료원,11101318,2021,종합병원,공립,0,5
대아의료재단한도병원,31100899,2021,종합병원,의료법인,0,5
부산광역시의료원,21100209,2021,종합병원,공립,0,3
서울특별시동부병원,11100133,2021,종합병원,공립,0,5
(의)성세의료재단뉴성민병원,31100694,2022,종합병원,의료법인,0,5
경기도의료원 수원병원,31100988,2022,종합병원,공립,0,3
광주보훈병원,36100137,2022,종합병원,공립,1,4
국립중앙의료원,11101318,2022,종합병원,공립,0,4
남양주한양병원,31100996,2022,종합병원,의료법인,0,4
동남권원자력의학원,21100624,2022,종합병원,공립,1,3
서울적십자병원,11100109,2022,종합병원,공립,1,4
서울특별시동부병원,11100133,2022,종합병원,공립,1,5
순천의료재단정병원,31101046,2022,종합병원,의료법인,0,4
아산충무병원,34100342,2022,종합병원,의료법인,0,3
연세대학교의과대학세브란스병원,11100206,2022,상급종합병원,학교법인,0,3
의료법인박애의료재단박애병원,31100520,2022,종합병원,의료법인,0,4
의료법인거명의료재단영광기독병원,36100820,2022,종합병원,의료법인,1,4
(의)성세의료재단뉴성민병원,31100694,2023,종합병원,의료법인,0,5
강북삼성병원,11100095,2023,상급종합병원,의료법인,0,4
경기도의료원의정부병원,31100287,2023,종합병원,공립,1,5
경찰병원,11100176,2023,종합병원,국립,1,4
국립중앙의료원,11101318,2023,종합병원,공립,1,4
근로복지공단대전병원,34100326,2023,종합병원,공립,1,4
동남권원자력의학원,21100624,2023,종합병원,공립,1,3
서울적십자병원,11100109,2023,종합병원,공립,1,5
서울특별시동부병원,11100133,2023,종합병원,공립,1,5
순천의료재단정병원,31101046,2023,종합병원,의료법인,1,5
연세대학교의과대학세브란스병원,11100206,2023,상급종합병원,학교법인,0,3
의료법인갈렌의료재단박병원,31101259,2023,종합병원,의료법인,0,3
의료법인박애의료재단박애병원,31100520,2023,종합병원,의료법인,1,5
의료법인거명의료재단영광기독병원,36100820,2023,종합병원,의료법인,1,4
